A,z,R,r0
208,81,6.5,1.10
210,81,7.0,1.19
206,82,7.2,1.21
208,82,7.8,1.31
210,82,8.1,1.35
211,82,8.3,1.40
212,82,8.1,1.35
214,82,8.4,1.39
211,83,8.1,1.35
215,84,8.4,1.39
216,84,8.5,1.40
218,84,8.5,1.40
219,86,8.5,1.40
220,86,8.1,1.34
222,86,8.7,1.44
223,87,8.4,1.39
224,88,7.6,1.26
226,88,8.3,1.36
228,88,8.6,1.43
234,90,8.4,1.36
11,5,3.2,1.42
13,6,3.4,1.46
15,7,3.5,1.41
17,8,3.6,1.39
19,9,3.9,1.47
23,11,4.1,1.46
27,13,4.2,1.39
29,14,4.5,1.46
29,15,4.6,1.47
33,16,4.7,1.46
35,17,4.8,1.46
41,20,5.2,1.50
